English sentence,Swahili Translation
"In 1973, oil cost three dollars per barrel; in 2008 - 80 dollars per barrel.","Mnamo 1973, mafuta yaligharimu dola tatu kwa pipa; mnamo 2008 - dola 80 kwa pipa."
There is a curious crowd on both sides of the avenue.,Kuna umati unaovutia pande zote mbili za barabara.
"Don't dig a pit for somebody to fall into, or you will end up in it yourself.","Usichimbe shimo ili mtu aanguke, au utauangukia mwenyewe."
Some people are born on third base and go through life thinking they hit a triple.,Watu wengine wamezaliwa katika utajiri na wanapitia maisha wakidhania wamepata sifa kupitia mafanikio yao.
I couldn't do anything about it.,Singeweza kufanya chochote.
"The newspaper said that a lion escaped from the zoo, and that it could now be in any part of the city.","Gazeti lilisema kwamba simba alitoroka kutoka kwa mbuga, na kwamba sasa anaweza kuwa katika sehemu yoyote ya jiji."
"For each person there is a sentence—a series of words—which has the power to destroy him. Another sentence exists, another series of words, which will heal the person.","Kwa kila mtu kuna sentensi-msururu wa maneno - ambayo ina nguvu ya kumuangamiza. Sentensi nyingine ipo, msururu mwingine wa maneno, ambayo yatamponya mtu."
"""I'll give you twenty bucks for it."" ""Nothing doing. Thirty dollars; take it or leave it."" ""Fine, then I guess I'll take my business elsewhere.""","""Nitakupa tembo ishirini kwa hiyo."" ""Hakuna kinachofanya. Dola thelathini; kuchua au uwache."" ""Shwari, basi nadhani nitafanya biashara yangu mahali pengine."""
Can we talk now?,Tunaweza kuzungumza sasa?
I just found out my favorite hotel has gone out of business.,Nimegundua tu kuwa mkahawa wangu niupendao umefunga biashara.
We haven't fixed the final details of the budget.,Hatujaandaa maelezo ya mwisho ya bajeti.
Merry Christmas to you and your family.,Nakutakia wewe na familia yako Krismasi njema.
"Soon, in the great theatre, the lights will be put out, and the empty stage will be left to ghosts.","Hivi karibuni, katika ukumbi mkubwa wa michezo, taa zitazimwa, na ukumbi mtupu utaachwa mizuka."
The most important part of an open-door policy is that employees feel welcome to approach their boss with any issue that concerns them.,Sehemu muhimu zaidi ya sera ya uwazi ni kwamba wafanyakazi wanahisi kuwa na ruhusa ya kumuendea mkubwa wao na suala lolote linalohusu.
I've been waiting for that to happen.,Nimekuwa nasubiri hilo litendeke.
I hardly ever see this kind of thing anymore.,Sio rahisi kwangu kuona kitu kama hiki.
He would rather play video games than be with me sexually.,Anaradhi acheze michezo ya video kuliko kufanya mapenzi na mimi.
"If you deposit your letter at the front post after 7 PM, it'll be delivered the following day.","Ikiwa barua yako kwa posta ya mbele baada ya saa 1:00 jioni, itapelekwa siku inayofuata."
"In this era of post-truth politics, it's easy to cherry-pick data and come to whatever conclusion you desire.","Katika enzi hii ya siasa za baada ya ukweli, ni rahisi kuchagua data na kufikia hitimisho yoyote unayotaka."
"During the wedding rehearsal, he was almost too nervous to speak.","Wakati wa mazoezi ya harusi, alikuwa na wasiwasi mwingi."
My husband's situation is different.,Hali ya mume wangu ni tofauti.
Healthy competition is always good.,Ushindani wa afya daima ni mzuri.
A special prosecutor was appointed.,Mwendesha mashtaka maalum aliteuliwa.
Yelling is completely unnecessary.,Kugomba sio lazima kabisa
Knee replacement is major surgery.,Kugeuzwa kwa goti ni upasuaji mkubwa.
It's a beautifully designed boat.,Ni mashua iliyoundwa vizuri.
Thousands of kids were adopted.,Maelefu ya watoto waliasiliwa.
There's a place for everybody.,Kuna mahali kwa kila mtu.
The firing pin's been removed.,Pini ya kufyatua imeondolewa.
The chopper made a loud noise.,Helikopta ilifanya kelele kubwa.
We're still working that out.,Bado tunafanya kazi hiyo.
The potential market is huge.,Soko linalowezekana ni kubwa.
The main lobby appears empty.,Mapokezini makuu yanaonekana kuwa tupu.
I intend to be first in line.,Ninakusudia kuwa wa kwanza mu mstari.
We're working on this issue.,Tunajitahidi kusuluhisha shida hii.
Wait until the dust clears.,Subiri hadi vumbi iishe.
Their gang color is purple.,Rangi yao ya genge ni ya zambarau.
Let's see how it plays out.,Wacha tuone jinsi itakavyotokea.
The timing is unfortunate.,Ni bahati mbaya muda hautoshi.
The television is blaring.,Runinga ina sauti ya juu.
That's how we were raised.,Hivyo ndivyo tulilelewa.
Murphy's law states that whatever can go wrong will go wrong.,Sheria ya Murphy inasema kwamba chochote kinachoweza kwenda vibaya kitaenda vibaya.
The airport remains open.,Uwanja wa ndege ulibaki waki
Does anyone read anymore?,Kunaye anayendelea kusoma?
Birth records are public.,Rekodi za kuzaliwa ni kwa watu wote
I suck at relationships.,Sina sifa nzuri katika mahusiano.
I didn't try to respond.,Sikujaribu kujibu.
I didn't train properly.,Sikupata mafunzo kikamilifu.
Lives are being lost.,Maisha yanapotea.
"Die, scum!","Kamilika, maji machafu!"
They began chanting.,Walianza kughani.
Some bills can wait.,Bili zingine zinaweza kunagojea.
Send me photos.,Nitumie picha.
Nightmares are a sign of health issues.,Ndoto mbaya ni dalili ya matatizo ya kiafya.
My cousin has a large collection of action figures.,Binamu yangu ana mkusanyiko mkubwa wa takwimu za vitendo.
"Medical error is the third leading cause of death in the US, after heart disease and cancer.","Kosa la kimatibabu ni sababu ya tatu ya kusababisha kifo huko Amerika, baada ya ugonjwa wa moyo na saratani."
Do they know about each other?,"Je, wanafahamiana?"
I hate interviews.,Nachukia mahojiano.
Honey doesn't spoil.,Asali huwa haiharibiki.
I do not know where that guy came from. He just popped up out of nowhere.,Sijui mahali anakotoka yule mtu. Amechomoka tu ghafla.
"An explosion of social media has given ordinary people more ways to express themselves, and has raised people’s expectations for those of us in power.",Umaarufu wa mtandao wa kijamii umewapa watu wa kawaida njia nyingi za kujieleza na umeinua matarajio ya wengine wetu tulio mamlakani.
Millions of Americans lost their homes during the financial crisis.,Mamilioni ya Wamarekani walipoteza nyumba zao wakati wa mpomoko wa uchumi.
I might join the marching band.,Naweza kujiunga na bendi ya kuandamana.
It's a small step between pleasure and pain.,Ni hatua ndogo kati ya raha na maumivu.
"This soup must be prepared in precise, scientific steps.","Supu hii lazima iandaliwe kisawasawa, kwa hatua za kisayansi."
We saw a pregnant cat near the casino entrance.,Tuliona paka mjamzito karibu na mlango wa kasino.
The pigs wore makeup as part of a scientific study.,Nguruwe walivaa mapambo kama sehemu ya utafiti wa kisayansi.
What a bunch of bastards.,Kundi lililoje la wapumbavu.
The gift shop is on the second deck.,Duka la zawadi liko kwenye dawati la pili.
Your political party is completely corrupt.,Chama chako cha kisiasa ni fisadi kabisa.
Linda will prepare coffee.,Linda ataandaa kahawa.
The tour guide stole my identity.,Mwelekezi wa watalii aliiba kitambulisho changu.
Gather your injured at the church for medical treatment.,Kusanya waliojeruhiwa kanisani ili watibiwe.
I'd rather not sing tonight.,Afadhali nisiimbe usiku huu.
How dare you treat me like a criminal!,Unadhubutuje kunitendea kama mhalifu?
The furious mob attacked the building.,Halaiki ya watu ilikuwa imekasirila ilivamia jengo hilo.
Will the entire financial system collapse soon?,"Je, mfumo mzima wa kifedha utaporomoka punde?"
Greece is taking radical measures to prevent a collapse of its financial system.,Ugiriki inachukua hatua kali za kuzuia kuanguka kwa mfumo wake wa kifedha.
All I do is work.,Ninachofanya ni kazi.
Many people are struggling to keep a roof over their heads.,Watu wengi wanajitahidi kupata makazi.
A part of my Lisa stays with me.,Sehemu ya Lisa wangu inakaa nami.
I wanna be a magician when I grow up.,Nataka kuwa mchawi nikikua mkubwa.
"Ladies and gentlemen, welcome on board.","Mabibi na mabwana, karibuni tuwe pamoja."
"Winston doesn't want to buy a book, because he already has many boxes full of books.","Winston hataki kununua kitabu, kwa sababu tayari ana masanduku mengi yaliyojaa vitabu."
I really enjoy swimming.,Napenda sana kuogelea.
Is there a river anywhere near here?,Je! Kuna mto popote karibu na hapa?
I danced.,Nilicheza densi.
In the years to come thy memory will shine like a star over my lonely life.,Katika miaka ijayo kumbukumbu yako itaangaza kama nyota juu ya maisha yangu ya upweke.
"Who's bringing this child up, Matthew, you or me?","Nani anamlea mtoto huyu, Mathayo, wewe au mimi?"
"I really think the woods are just as lovely in winter as in summer. They're so white and still, as if they were asleep and dreaming pretty dreams.","Nadhani miti ni mizuri wakati wa msimu wa baridi kama ilivyo wakati wa kiangazi. Ni nyeupe sana na tulivu, kana kwamba wamelala na wanaota ndoto nzuri."
"Anne Shirley, what have you done to your hair? Why, it's green!","We Anne Shirley, umefanya nini kwenye nywele zako? Kwa nini, ni kijani!"
"Miss Barry was a rather selfish old lady, if the truth must be told, and had never cared much for anybody but herself.","Bi Barry alikuwa mwanamke mzee mchoyo, ikiwa ukweli lazima usemwe, hajawahi kumjali mtu yeyote isipokuwa yeye mwenyewe."
"""I was thinking about Anne,"" she explained. ""She's got to be such a big girl--and she'll probably be away from us next winter. I'll miss her terrible.""","""Nilikuwa nikifikiria kuhusu Anne,"" alielezea. ""Anapaswa kuwa msichana mkubwa - na labda atakuwa mbali nasi msimu ujao wa baridi. Nitamkosa mbaya. """
Are you telling me that it's completely normal to cheat on my wife?,"Je, unaniambia kuwa ni kawaida kabisa kumdanganya mke wangu?"
How can you tell who's innocent and who's guilty?,"Je, unawezaje kujua yule asiye na hatia na aliye na hatia?"
Let me tell you the reason that happened.,Wacha nikwambie sababu hilo lilifanyika.
I don't have a ticket yet.,Bado sijapata tiketi.
I kept cleaning.,Niliendelea kusafisha.
This is all we can give you.,Hii ndio yote tunaweza kukupa.
I'm not as drunk now as the last time you saw me.,Sasa mimi si mlevi kama ulivyoniona Mara ya mwisho.
I'm pigeon-toed.,Nina miguu iliyojipinda.
The police tracked down the other three students.,Polisi waliwafuatilia wanafunzi hao wengine watatu.
"A few years ago, I swore never to fall in love again.",Miaka michache iliyopita niliapa kuwa: kamwe sitapenda tena!
I'm quite unhappy here.,Mimi sinafuraha hapa.
"I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security.","Ninaamini kwa moyo wangu wote kuwa kipaumbele chetu cha kwanza lazima kiwe amani ya ulimwengu, na kwamba matumizi ya nguvu daima ni njia ya mwisho, wakati kila kitu kingine kimeshindwa, na basi tu kwa usalama wa taifa letu."
"Aww, they look so cute together.","Aww, wanakaa vizuri sana pamoja."
"Sir, I'm a great fan of yours. Could I have your autograph?","Bwana, mimi ni shabiki wako mkubwa. Je! Ninaweza kupata sahihi yako?"
The company medical treatment insurance covered all the medical treatment costs.,Bima ya matibabu ya kampuni ilifidia gharama zote za matibabu.
Dreams can be won or lost in Las Vegas.,Ndoto zinaweza kushinda au kupotea jijini Las Vegas
Police can't enter the property without a search warrant.,Polisi hawawezi kuingia kwenye jengo bila kibali cha upekuzi.
You can't destroy the precious bond between mother and child.,Hauwezi kuharibu uhusiano wa thamani kati ya mama na mtoto wake.
"That bill for the ambulance last year? Yeah, well, they sent a collection agency after us.","Bili hiyo ni ya ambulensi mwaka jana? Ndio, sawa, walituma wakala wa kukusanya baada yetu."
We're going to hire the most famous makeup artist for our cast's makeup.,Tutamuajiri msanii maarufu zaidi wa mapambo kuwapamba wasanii wetu.
Why aren't you doing what you're supposed to be doing?,Kwa nini hufanyi jambo unalopaswa kufanya?
I don't understand why you don't want to do that.,Sielewi kwa nini hutaki kufanya hivyo.
The far left and far right are more alike than you'd think.,Pembeni mwa kushoto na kulia zinafanana kuliko unavyodhania.
"""How much?"" ""Ten bucks."" ""You must be joking. I'll give you five.""","""Ni kiasi gani?"" ""Shiling kumi."" ""Lazima unatania. ""Nitakupa tano"""
I've been up since 2:30 this morning.,Nimekuwa macho tangu asubuhi 8:30 usiku.
I think you should turn yourself in.,Nafikiri unafaa kujipeleka ndani.
I still do that whenever I can.,Bado ninafanya hivyo wakati wowote ninaweza.
You didn't look angry.,Hukai mwenye hasira.
We'd have to paint the blade of the sword in order to change the color.,Lazima tupake rangi ncha ya upanga ili kubadilisha rangi.
"""That language sounds terrible."" ""No, that guy just has an ugly voice. If you listen to this other guy speaking it, you'll see it sounds quite beautiful."" ""You're right. It does sound lovely.""","""Lugha hiyo inasikika vibaya."" ""La, mtu huyo ana sauti mbaya tu. Ukisikiliza mtu huyo mwingine akizungumza, unasikia inapendeza."" ""Uko sawa. Inapendeza."""
You look like you're drunk.,Unakaa kuwa umekunywa pombe.
"If ""pro"" is the opposite of ""con,"" what’s the opposite of progress?","Ikiwa ""pro"" ni kinyume cha ""con,"" ni nini kinyume cha maendeleo?"
"If I succeed, many, many months, perhaps years, will pass before you and I may meet. If I fail, you will see me again soon, or never.","Nikifaulu, miezi mingi, labda miaka, itapita kabla tukutane nawe. Nikianguka, utaniona tena hivi karibuni, au utawahi niona kamwe."
The problems of our age require new thinking.,Shida za wakati wetu zinahitaji fikira mpya.
I am a man of modest tastes.,Mimi ni mwanaume wa maonjo ya kawaida.
"You spend your whole life making millions of dollars, right up to the very end, when your wealth becomes totally worthless to you.","Unatumia maisha yako yote kutengeneza mamilioni ya dola, hadi mwishoni kabisa, ambapo mali yako inakuwa haina thamani kwako."
"Which is worse, killing one person or letting five people die?","Ni nini mbaya zaidi, kuua mtu mmoja au kuwaruhusu watu watano kufa?"
A jail fence couldn't keep a demon of a cow like that out.,Kifungo cha gerezani hakiweza kuweka pepo la ng'ombe kama huyo.
